number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_gap_f1,user_attrs_test_accuracy,user_attrs_train_f1,state
27,0.8150388948689867,2026-05-13 17:14:38.492374,2026-05-13 17:14:39.060456,0 days 00:00:00.568082,9,39,3,173,0.005562155553455184,0.8352288488210817,0.8206010504224419,COMPLETE
28,0.8230111193695379,2026-05-13 17:14:39.061577,2026-05-13 17:14:39.550236,0 days 00:00:00.488659,14,13,6,125,0.02313817136703822,0.8396671289875173,0.8461492907365761,COMPLETE
29,0.8267339019673436,2026-05-13 17:14:39.551186,2026-05-13 17:14:40.330126,0 days 00:00:00.778940,12,8,8,213,0.034501717834357626,0.8418862690707349,0.8612356198017013,COMPLETE
30,0.8173200962756202,2026-05-13 17:14:40.330993,2026-05-13 17:14:41.432922,0 days 00:00:01.101929,11,28,3,338,0.00675675561912259,0.8363384188626906,0.8240768518947428,COMPLETE
31,0.8285392347971481,2026-05-13 17:14:41.433906,2026-05-13 17:14:42.000453,0 days 00:00:00.566547,15,5,2,142,0.06129309998465793,0.8421636615811373,0.889832334781806,COMPLETE
32,0.830434489573312,2026-05-13 17:14:42.001355,2026-05-13 17:14:42.540898,0 days 00:00:00.539543,15,7,2,124,0.04228305615928252,0.8449375866851595,0.8727175457325945,COMPLETE
33,0.8261657942248375,2026-05-13 17:14:42.542846,2026-05-13 17:14:42.965149,0 days 00:00:00.422303,14,10,5,110,0.02999867801679401,0.8416088765603329,0.8561644722416315,COMPLETE
34,0.824567563579109,2026-05-13 17:14:42.965960,2026-05-13 17:14:43.633024,0 days 00:00:00.667064,13,15,7,193,0.014923684025582529,0.8410540915395284,0.8394912476046915,COMPLETE
35,0.8267918193294037,2026-05-13 17:14:43.633840,2026-05-13 17:14:44.292481,0 days 00:00:00.658641,15,7,3,162,0.04542273580941969,0.8416088765603329,0.8722145551388234,COMPLETE
36,0.8214623255318317,2026-05-13 17:14:44.293597,2026-05-13 17:14:44.757550,0 days 00:00:00.463953,11,18,4,124,0.01408841801094074,0.8388349514563107,0.8355507435427725,COMPLETE
37,0.8266686882853429,2026-05-13 17:14:44.758486,2026-05-13 17:14:45.174204,0 days 00:00:00.415718,14,11,9,100,0.02438138182701377,0.8424410540915395,0.8510500701123567,COMPLETE
38,0.8263506674293218,2026-05-13 17:14:45.175043,2026-05-13 17:14:46.016054,0 days 00:00:00.841011,15,8,5,230,0.03685851348231639,0.8416088765603329,0.8632091809116382,COMPLETE
39,0.820037572244526,2026-05-13 17:14:46.017311,2026-05-13 17:14:46.733623,0 days 00:00:00.716312,8,14,7,201,0.01671447746610344,0.8377253814147018,0.8367520497106294,COMPLETE
40,0.8160749515656709,2026-05-13 17:14:46.734552,2026-05-13 17:14:47.934527,0 days 00:00:01.199975,12,23,11,383,0.01148242929483223,0.8352288488210817,0.8275573808605031,COMPLETE
41,0.8285392347971481,2026-05-13 17:14:47.935464,2026-05-13 17:14:48.502253,0 days 00:00:00.566789,15,5,2,143,0.061327036062560736,0.8421636615811373,0.8898662708597088,COMPLETE
42,0.8279617989627578,2026-05-13 17:14:48.503317,2026-05-13 17:14:48.987516,0 days 00:00:00.484199,14,7,3,124,0.04337502917749381,0.8424410540915395,0.8713368281402516,COMPLETE
43,0.8274462721278736,2026-05-13 17:14:48.988337,2026-05-13 17:14:49.615378,0 days 00:00:00.627041,15,7,2,153,0.04498231733559066,0.8424410540915395,0.8724285894634642,COMPLETE
44,0.8274315740784864,2026-05-13 17:14:49.616227,2026-05-13 17:14:50.505273,0 days 00:00:00.889046,15,11,3,251,0.022681654276826557,0.8432732316227461,0.850113228355313,COMPLETE
45,0.8164481747491644,2026-05-13 17:14:50.506111,2026-05-13 17:14:50.916002,0 days 00:00:00.409891,5,5,2,127,0.007104102652488398,0.8366158113730929,0.8235522774016528,COMPLETE
46,0.8176837954610485,2026-05-13 17:14:50.916804,2026-05-13 17:14:51.385240,0 days 00:00:00.468436,14,40,4,153,0.0033250149080470415,0.8368932038834951,0.8210088103690956,COMPLETE
47,0.8290016342937185,2026-05-13 17:14:51.387147,2026-05-13 17:14:52.054328,0 days 00:00:00.667181,13,7,5,165,0.04258469093152817,0.8438280166435506,0.8715863252252467,COMPLETE
48,0.8135668911170478,2026-05-13 17:14:52.055205,2026-05-13 17:14:52.738374,0 days 00:00:00.683169,13,49,5,223,0.0038925557287357027,0.8343966712898752,0.8174594468457835,COMPLETE
49,0.8280537453776293,2026-05-13 17:14:52.739292,2026-05-13 17:14:53.395052,0 days 00:00:00.655760,13,11,14,168,0.024349297670635872,0.8438280166435506,0.8524030430482652,COMPLETE
